FID,cnuc,nome_uc,area_ha,acao,tipo,satelite,obs,juliano,data,ano,mes_nome,mes_num,categoria,local,area_uc,area_ent,bioma,gr_nome,ngi,cr,GlobalID,Shape__Are,Shape__Len,Shape__Area,Shape__Length,ct
358471,0000.00.0144,PARNA da Serra da Canastra,85.0203544417325,incendio,incendio,planet, ,155,6/4/2025 12:00:00 AM,2025,jun,06,incendio,interior,85.0203544417325,0,CERRADO,GR 4 - SUDESTE,-, ,,,,972508.765625,8822.32273631428, 
358472,0000.00.0144,PARNA da Serra da Canastra,12.6704315122094,incendio,incendio,planet, ,157,6/7/2025 12:00:00 AM,2025,jun,06,incendio,interior,12.6704315122094,0,CERRADO,GR 4 - SUDESTE,-, ,,,,144825.89453125,1692.61794280209, 
358473,0000.00.0144,PARNA da Serra da Canastra,3.69252202667417,incendio,incendio,planet, ,156,6/7/2025 12:00:00 AM,2025,jun,06,incendio,interior,3.69252202667417,0,CERRADO,GR 4 - SUDESTE,-, ,,,,42338.2763671875,816.943175687683, 
358474,0000.00.0139,PARNA da Chapada dos Veadeiros,50.4487544519349,incendio,incendio,planet, ,162,6/12/2025 12:00:00 AM,2025,jun,06,incendio,interior,50.4487544519349,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,538406.446777344,3635.74128852125, 
358475,0000.00.0159,PARNA de Brasília,3.64571274151865,queima prescrita,manejo,planet,Queima do dia 09/04,100,5/19/2025 12:00:00 AM,2025,mai,05,manejo,interior,3.64571274151865,0,CERRADO,GR 3 - CENTRO-OESTE,Núcleo de Gestão Integrada - ICMBio Brasília-Contagem, ,,,,39520.6435546875,1167.0549016989, 
358476,0000.00.0023,APA do Planalto Central,47.7927491330193,incendio,incendio,planet, ,156,6/15/2025 12:00:00 AM,2025,jun,06,incendio,interior,47.7927491330193,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,517304.384765625,4577.87314258324, 
358477,0000.00.0023,APA do Planalto Central,14.6723621888073,incendio,incendio,planet, ,155,6/15/2025 12:00:00 AM,2025,jun,06,incendio,interior,14.6723621888073,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,158679.805664063,2477.58200552145, 
358478,0000.00.0023,APA do Planalto Central,57.4345842938841,incendio,incendio,planet, ,156,6/15/2025 12:00:00 AM,2025,jun,06,incendio,interior,57.4345842938841,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,621282.32421875,7468.73929049912, 
358479,0000.00.0023,APA do Planalto Central,50.378102262497,incendio,incendio,planet, ,162,6/15/2025 12:00:00 AM,2025,jun,06,incendio,interior,50.378102262497,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,544968.349609375,5138.84362229866, 
358480,0000.00.0076,ESEC Serra Geral do Tocantins,3.73705258290411,queima controlada,manejo,planet,Queima do dia 21/05,142,5/26/2025 12:00:00 AM,2025,mai,05,manejo,interior,3.73705258290411,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,38939.3515625,1041.07906178499, 
358481,0000.00.0023,APA do Planalto Central,61.3276899836422,incendio,incendio,planet, ,155,6/15/2025 12:00:00 AM,2025,jun,06,incendio,interior,61.3276899836422,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,663144.672851563,10818.4802793043, 
358482,0000.00.0023,APA do Planalto Central,38.9687239430372,incendio,incendio,planet, ,155,6/15/2025 12:00:00 AM,2025,jun,06,incendio,interior,38.9687239430372,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,421393.333007813,6250.352037589, 
358483,0000.00.0023,APA do Planalto Central,75.9854425675541,incendio,incendio,planet, ,156,6/15/2025 12:00:00 AM,2025,jun,06,incendio,interior,75.9854425675541,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,821806.07421875,10605.5125453087, 
