system:index,B11,B12,B2,B3,B4,B8,burned,dnbr,nbr,ndmi,ndvi,ndwi,.geo
2_139,2001.5,1067.5,318.25,506.0,544.5,2149.5,0,0.04957986,0.33679008,0.042149894,0.31214046,-0.6159913,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.425252867928165,-13.847305525881394]}"
2_140,1948.5,1010.0,228.5,497.5,393.5,2501.5,0,0.13114688,0.41759303,0.11474984,0.45082957,-0.65576893,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.066286080394,-13.690459677274125]}"
2_141,1997.0,1048.5,291.0,509.3333333333333,504.0,2436.0,0,0.13725999,0.38894966,0.1031477,0.34292203,-0.6499647,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.3225754309533,-14.105211843952109]}"
2_142,1621.0,764.0,212.5,463.0,332.0,2478.0,0,0.011239767,0.53918314,0.21473803,0.47027394,-0.68221384,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.73651911387558,-14.047809497296871]}"
2_143,2133.0,1178.0,292.5,495.0,586.5,1969.5,0,0.15240663,0.23104209,-0.06188433,0.2572317,-0.59832585,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.72439185753996,-14.116530616532016]}"
2_144,2582.5,1869.0,361.0,491.6666666666667,627.0,1437.0,0,0.036885455,-0.13039061,-0.2778524,0.1603058,-0.49552238,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.68073373473176,-14.04861798105258]}"
2_145,2231.75,1265.25,329.0,531.0,609.5,2023.0,0,0.10696164,0.25069642,-0.034335285,0.28834185,-0.57994497,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.25870521425241,-13.93866419027635]}"
2_146,2139.5,1379.75,357.42857142857144,501.5,600.0,1691.4,0,0.07970499,0.09293301,-0.12663011,0.21040703,-0.5329949,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.3435960086017,-13.929770868963566]}"
2_147,2773.5,1606.0,452.5,689.5,917.5,2130.0,0,0.20083119,0.15078752,-0.115904965,0.20308632,-0.5148305,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.03718066518853,-13.797179533027524]}"
2_148,1477.0,636.25,155.33333333333331,373.5,232.5,2735.75,0,-0.0076057315,0.6325665,0.3042143,0.57006896,-0.76347893,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.625756839343644,-13.967769605481822]}"
2_149,1972.0,1100.0,325.0,531.0,536.0,2266.0,0,0.07570714,0.3704458,0.10172457,0.33801827,-0.62166065,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.14875142347618,-14.002534406977247]}"
2_150,2198.0,1178.0,300.0,521.0,579.0,2222.0,0,0.10434225,0.31117824,0.0051860535,0.30728465,-0.61207545,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.536823626215806,-13.890963648689603]}"
2_151,2284.0,1225.5,364.0,660.5,698.5,2605.0,0,0.06685677,0.35829586,0.06364674,0.3223225,-0.59409654,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.10994420320221,-13.701778449854032]}"
2_152,2044.0,974.0,242.83333333333334,530.6,379.5,2967.5,0,0.12705833,0.50537854,0.18511811,0.5025612,-0.6922189,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.33712813855604,-14.04134162725121]}"
2_153,2236.5,1216.5,307.0,595.0,578.0,2562.0,0,0.04411912,0.3583541,0.07156443,0.33239293,-0.62919474,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.20696225388712,-13.920877547650782]}"
2_154,1933.5,1035.5,349.5,554.8,514.5,2369.5,0,0.043023646,0.38813362,0.10566411,0.3263291,-0.6223061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.3330857197775,-14.126232421600506]}"
2_155,2183.0,1163.5,307.5,541.0,568.0,2403.4,0,0.1440089,0.35831103,0.06784451,0.35284552,-0.6288732,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.29427849950354,-14.021938017114229]}"
2_156,2636.0,1497.0,444.0,672.0,899.0,2457.5,0,0.26105103,0.24031988,-0.042253695,0.24089022,-0.5531257,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.025861892608624,-13.754329893975024]}"
2_157,1796.0,923.0,234.0,432.0,445.0,2123.0,0,0.1297105,0.4180444,0.10649218,0.40268457,-0.6576217,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.179473806193066,-13.985556248107388]}"
2_158,2632.5,1656.5,474.0,686.0,859.5,2079.5,0,0.14195617,0.13602014,-0.10903257,0.21616949,-0.5040534,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.21908951022274,-13.929770868963566]}"
2_159,2883.0,2234.0,540.0,672.0,857.0,1513.0,0,0.08457413,-0.1912754,-0.31139153,0.10817349,-0.38744503,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.688010088533126,-14.055894334853948]}"
2_160,2438.0,1476.5,364.0,544.25,644.0,1980.0,0,0.1053464,0.15502958,-0.0915628,0.252489,-0.5652174,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.235259185336886,-14.004959858244371]}"
2_161,2631.5,1671.0,410.0,577.0,763.0,1675.25,0,0.1563477,-0.017020315,-0.2366235,0.16004297,-0.4740022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.43010377046241,-14.119764551554844]}"
2_162,1506.0,650.5,176.0,414.66666666666663,279.0,2540.5,0,0.02794081,0.6134652,0.27679402,0.5315273,-0.7198984,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.59099203784822,-13.949174479100549]}"
